condition,seed,step,target_tokens_millions,target_validation_bits_per_byte,lexical_probe_accuracy_percent,grammar_logprob_margin,grammar_minimal_pair_accuracy_percent,normalized_llc_ratio_to_start,english_validation_bits_per_byte,generating_transition_step
Structured Portuguese,1,0,0.000000,2.591365,11.188978,-0.082905,47.411539,1.009518,1.179017,817.508112
Structured Portuguese,1,100,0.409600,2.281917,32.778951,-0.045200,48.587888,1.081560,1.187277,817.508112
Structured Portuguese,1,200,0.819200,2.089902,48.397610,0.020478,50.639918,1.140376,1.188560,817.508112
Structured Portuguese,1,300,1.228800,1.968306,59.338743,0.018785,50.587013,1.174379,1.191765,817.508112
Structured Portuguese,1,450,1.843200,1.803089,69.281985,0.080247,52.505607,1.217450,1.201042,817.508112
Structured Portuguese,1,600,2.457600,1.699696,75.491716,0.190736,55.932411,1.241755,1.203475,817.508112
Structured Portuguese,1,700,2.867200,1.619024,78.952996,0.331515,60.214080,1.238919,1.209010,817.508112
Structured Portuguese,1,800,3.276800,1.517263,81.413921,0.539999,66.262142,1.176163,1.215315,817.508112
Structured Portuguese,1,900,3.686400,1.411645,81.701381,1.043271,78.652222,1.124331,1.223555,817.508112
Structured Portuguese,1,1050,4.300800,1.318709,84.894664,1.413448,85.406055,1.084538,1.234230,817.508112
Structured Portuguese,1,1250,5.120000,1.266028,86.469064,1.541962,87.296713,1.099858,1.238412,817.508112
Structured Portuguese,1,1500,6.144000,1.244848,85.463182,1.554727,87.472611,1.096854,1.237628,817.508112
Structured Portuguese,1,1850,7.577600,1.235522,87.484914,1.525873,87.072012,1.108041,1.242556,817.508112
Structured Portuguese,1,2200,9.011200,1.251531,86.500815,1.515478,86.925039,1.103324,1.240313,817.508112
Structured Portuguese,1,2500,10.240000,1.245429,86.438100,1.534990,87.199755,1.094566,1.243167,817.508112
Structured Portuguese,2,0,0.000000,2.593034,12.246742,-0.027518,49.140137,0.988217,1.176955,824.394631
Structured Portuguese,2,100,0.409600,2.288924,33.654880,0.065419,52.043199,1.080308,1.184127,824.394631
Structured Portuguese,2,200,0.819200,2.099057,47.036043,0.048230,51.506736,1.124923,1.189426,824.394631
Structured Portuguese,2,300,1.228800,1.951828,58.464071,0.017034,50.532286,1.169313,1.189889,824.394631
Structured Portuguese,2,450,1.843200,1.818259,69.369817,0.141965,54.424808,1.215146,1.200171,824.394631
Structured Portuguese,2,600,2.457600,1.705759,76.163718,0.192067,55.973442,1.231257,1.198665,824.394631
Structured Portuguese,2,700,2.867200,1.624547,78.418450,0.297237,59.183254,1.232785,1.204398,824.394631
Structured Portuguese,2,800,3.276800,1.501521,81.013336,0.611362,68.226550,1.172531,1.217964,824.394631
Structured Portuguese,2,900,3.686400,1.384680,83.440422,0.945541,76.529401,1.118442,1.221375,824.394631
Structured Portuguese,2,1050,4.300800,1.298032,84.316537,1.376617,84.822820,1.079897,1.234630,824.394631
Structured Portuguese,2,1250,5.120000,1.260973,85.068890,1.514825,86.915764,1.096635,1.240313,824.394631
Structured Portuguese,2,1500,6.144000,1.232160,86.662209,1.497888,86.673116,1.101566,1.241889,824.394631
Structured Portuguese,2,1850,7.577600,1.228256,86.854578,1.525127,87.061520,1.104541,1.243179,824.394631
Structured Portuguese,2,2200,9.011200,1.246136,86.953310,1.585959,87.894194,1.097495,1.238513,824.394631
Structured Portuguese,2,2500,10.240000,1.239265,87.514202,1.581000,87.828088,1.108186,1.242014,824.394631
Structured Portuguese,3,0,0.000000,2.598058,11.814261,-0.030697,49.040828,1.005547,1.180769,845.394888
Structured Portuguese,3,100,0.409600,2.289858,31.512998,0.014430,50.450923,1.073287,1.186404,845.394888
Structured Portuguese,3,200,0.819200,2.113649,49.741775,-0.018278,49.428843,1.141307,1.190766,845.394888
Structured Portuguese,3,300,1.228800,1.948896,57.341045,0.030821,50.963025,1.172136,1.191387,845.394888
Structured Portuguese,3,450,1.843200,1.809556,70.081941,0.121217,53.780807,1.221181,1.194702,845.394888
Structured Portuguese,3,600,2.457600,1.698614,75.920994,0.148417,54.624772,1.238733,1.206937,845.394888
Structured Portuguese,3,700,2.867200,1.624730,78.536886,0.231603,57.187473,1.240148,1.206953,845.394888
Structured Portuguese,3,800,3.276800,1.535691,80.936069,0.520995,65.729067,1.196822,1.215000,845.394888
Structured Portuguese,3,900,3.686400,1.424565,82.762411,0.907757,75.670452,1.121910,1.224471,845.394888
Structured Portuguese,3,1050,4.300800,1.329161,84.700220,1.341741,84.253031,1.089187,1.235083,845.394888
Structured Portuguese,3,1250,5.120000,1.258502,87.165741,1.479837,86.410321,1.084547,1.242847,845.394888
Structured Portuguese,3,1500,6.144000,1.238876,85.479310,1.536713,87.223776,1.102707,1.238209,845.394888
Structured Portuguese,3,1850,7.577600,1.246056,87.452507,1.549886,87.406155,1.107065,1.242745,845.394888
Structured Portuguese,3,2200,9.011200,1.236481,88.015092,1.509141,86.834746,1.112011,1.241159,845.394888
Structured Portuguese,3,2500,10.240000,1.225503,86.951694,1.484075,86.472409,1.109926,1.241779,845.394888
Shuffled Portuguese,1,0,0.000000,2.592976,12.495730,0.028244,50.882541,0.999075,1.181672,
Shuffled Portuguese,1,100,0.409600,2.323553,31.450151,-0.039184,48.775741,1.002263,1.177485,
Shuffled Portuguese,1,200,0.819200,2.089515,46.362319,-0.027236,49.148958,1.018762,1.181679,
Shuffled Portuguese,1,300,1.228800,1.953309,55.951874,-0.021441,49.330010,1.034000,1.187297,
Shuffled Portuguese,1,450,1.843200,1.801298,66.460593,-0.015082,49.528687,1.035688,1.188799,
Shuffled Portuguese,1,600,2.457600,1.722456,72.330073,-0.015749,49.507865,1.033707,1.185190,
Shuffled Portuguese,1,700,2.867200,1.686058,74.855279,0.009664,50.301992,1.047015,1.191245,
Shuffled Portuguese,1,800,3.276800,1.647504,77.282286,0.036474,51.139616,1.046665,1.190959,
Shuffled Portuguese,1,900,3.686400,1.591475,79.140960,0.042870,51.339373,1.060017,1.196525,
Shuffled Portuguese,1,1050,4.300800,1.581397,79.762422,0.030732,50.960261,1.071424,1.193647,
Shuffled Portuguese,1,1250,5.120000,1.551232,81.610555,-0.009699,49.696923,1.090835,1.197256,
Shuffled Portuguese,1,1500,6.144000,1.542209,82.967250,0.053754,51.679179,1.115928,1.208764,
Shuffled Portuguese,1,1850,7.577600,1.482442,81.713953,0.050558,51.579416,1.140005,1.215791,
Shuffled Portuguese,1,2200,9.011200,1.473403,83.560228,0.066375,52.073015,1.152290,1.219610,
Shuffled Portuguese,1,2500,10.240000,1.469986,82.531560,0.116844,53.644895,1.180277,1.225591,
Shuffled Portuguese,2,0,0.000000,2.571286,10.971923,0.004812,50.150363,1.000362,1.180565,
Shuffled Portuguese,2,100,0.409600,2.299962,31.676662,0.066000,52.061318,1.002389,1.179309,
Shuffled Portuguese,2,200,0.819200,2.107052,45.761086,-0.036399,48.862718,1.028059,1.182326,
Shuffled Portuguese,2,300,1.228800,1.967344,55.653126,0.002824,50.088265,1.016671,1.180262,
Shuffled Portuguese,2,450,1.843200,1.821312,66.681299,-0.004094,49.872048,1.024768,1.186960,
Shuffled Portuguese,2,600,2.457600,1.723397,72.326985,0.009579,50.299351,1.043908,1.190682,
Shuffled Portuguese,2,700,2.867200,1.659236,75.165811,-0.001074,49.966430,1.044653,1.193627,
Shuffled Portuguese,2,800,3.276800,1.642950,76.736662,-0.012976,49.594523,1.062929,1.197815,
Shuffled Portuguese,2,900,3.686400,1.590610,79.723122,0.019995,50.624800,1.055137,1.194991,
Shuffled Portuguese,2,1050,4.300800,1.578657,80.237606,0.020156,50.629833,1.068613,1.197851,
Shuffled Portuguese,2,1250,5.120000,1.536089,81.408175,0.033011,51.031439,1.085069,1.201252,
Shuffled Portuguese,2,1500,6.144000,1.510190,82.226897,0.056177,51.754811,1.104398,1.209566,
Shuffled Portuguese,2,1850,7.577600,1.509847,82.249519,0.065034,52.031185,1.132422,1.206310,
Shuffled Portuguese,2,2200,9.011200,1.461678,82.216568,0.046493,51.452508,1.147845,1.216641,
Shuffled Portuguese,2,2500,10.240000,1.444120,82.956556,0.136185,54.245548,1.189880,1.220444,
Shuffled Portuguese,3,0,0.000000,2.585634,11.153792,-0.021429,49.330382,1.005710,1.182765,
Shuffled Portuguese,3,100,0.409600,2.287818,32.170270,-0.074765,47.665298,1.000249,1.186426,
Shuffled Portuguese,3,200,0.819200,2.100103,43.529672,0.000979,50.030581,1.015315,1.183848,
Shuffled Portuguese,3,300,1.228800,1.948996,56.298744,-0.056258,48.242674,1.027338,1.185879,
Shuffled Portuguese,3,450,1.843200,1.825737,66.687587,-0.030734,49.039680,1.033714,1.189325,
Shuffled Portuguese,3,600,2.457600,1.705257,71.926390,-0.031141,49.026960,1.035738,1.185945,
Shuffled Portuguese,3,700,2.867200,1.652499,74.589477,-0.019014,49.405828,1.039596,1.194435,
Shuffled Portuguese,3,800,3.276800,1.650109,78.648808,0.012224,50.382001,1.054930,1.193073,
Shuffled Portuguese,3,900,3.686400,1.568935,77.968490,0.000302,50.009441,1.076037,1.191325,
Shuffled Portuguese,3,1050,4.300800,1.539838,81.254922,0.040284,51.258613,1.069856,1.198959,
Shuffled Portuguese,3,1250,5.120000,1.554701,81.131274,0.044837,51.400795,1.084986,1.192397,
Shuffled Portuguese,3,1500,6.144000,1.513152,80.842946,0.018547,50.579554,1.109910,1.208686,
Shuffled Portuguese,3,1850,7.577600,1.484111,81.829370,0.023088,50.721463,1.135690,1.209851,
Shuffled Portuguese,3,2200,9.011200,1.471933,82.262585,0.102292,53.192274,1.155866,1.220554,
Shuffled Portuguese,3,2500,10.240000,1.467194,82.476648,0.035017,51.094104,1.173311,1.216132,
Matched English control,1,0,0.000000,2.579268,12.453651,0.005157,50.161159,1.003574,1.177511,
Matched English control,1,100,0.409600,2.565851,11.758785,-0.013357,49.582605,0.997663,1.165484,
Matched English control,1,200,0.819200,2.591096,11.440577,0.012193,50.381014,1.004520,1.160477,
Matched English control,1,300,1.228800,2.567834,11.584466,-0.019957,49.376390,1.014033,1.145358,
Matched English control,1,450,1.843200,2.567975,12.616711,0.015494,50.484160,1.016375,1.135572,
Matched English control,1,600,2.457600,2.557356,12.574891,-0.013368,49.582264,1.014819,1.129154,
Matched English control,1,700,2.867200,2.555540,12.140425,-0.045100,48.591003,1.022601,1.125447,
Matched English control,1,800,3.276800,2.536966,12.190314,-0.008516,49.733873,1.022289,1.127939,
Matched English control,1,900,3.686400,2.539367,14.261828,-0.011656,49.635760,1.024877,1.124523,
Matched English control,1,1050,4.300800,2.552241,12.771204,0.001042,50.032551,1.030731,1.124427,
Matched English control,1,1250,5.120000,2.534374,12.624021,-0.049108,48.465847,1.026063,1.117133,
Matched English control,1,1500,6.144000,2.528092,13.108155,0.035796,51.118425,1.050103,1.111739,
Matched English control,1,1850,7.577600,2.539971,14.519532,0.026256,50.820418,1.055425,1.110765,
Matched English control,1,2200,9.011200,2.550183,13.477932,0.005478,50.171190,1.073746,1.112632,
Matched English control,1,2500,10.240000,2.514766,13.570261,0.008136,50.254248,1.073685,1.107007,
Matched English control,2,0,0.000000,2.604665,11.586705,0.012156,50.379865,0.995898,1.183549,
Matched English control,2,100,0.409600,2.582871,12.000124,-0.010003,49.687395,1.007679,1.170862,
Matched English control,2,200,0.819200,2.591112,12.249602,-0.001933,49.939581,1.003599,1.155008,
Matched English control,2,300,1.228800,2.581352,13.638761,-0.011016,49.655765,1.001928,1.151269,
Matched English control,2,450,1.843200,2.577028,12.763361,-0.000998,49.968800,1.010547,1.137521,
Matched English control,2,600,2.457600,2.566699,12.369727,-0.076468,47.612178,1.013550,1.128350,
Matched English control,2,700,2.867200,2.559062,12.243016,-0.011329,49.645984,1.033806,1.123301,
Matched English control,2,800,3.276800,2.572217,12.632053,-0.026453,49.173413,1.018700,1.122400,
Matched English control,2,900,3.686400,2.543312,13.176840,-0.011715,49.633901,1.025626,1.118560,
Matched English control,2,1050,4.300800,2.563228,12.890868,-0.016497,49.484501,1.020918,1.121298,
Matched English control,2,1250,5.120000,2.549843,13.240704,-0.005193,49.837707,1.030464,1.113582,
Matched English control,2,1500,6.144000,2.535314,12.839514,-0.039262,48.773317,1.045119,1.114513,
Matched English control,2,1850,7.577600,2.526609,13.661283,-0.024646,49.229861,1.042698,1.108246,
Matched English control,2,2200,9.011200,2.501146,13.827044,-0.020631,49.355320,1.061551,1.115142,
Matched English control,2,2500,10.240000,2.519185,14.307367,-0.026347,49.176736,1.076820,1.113597,
Matched English control,3,0,0.000000,2.563845,10.695228,-0.009364,49.707391,1.003862,1.179523,
Matched English control,3,100,0.409600,2.586821,12.316034,0.031563,50.986222,1.006740,1.167720,
Matched English control,3,200,0.819200,2.578778,12.842603,-0.035394,48.894131,1.011978,1.155246,
Matched English control,3,300,1.228800,2.573198,11.572974,-0.021566,49.326099,1.004088,1.150518,
Matched English control,3,450,1.843200,2.549746,11.443444,-0.050940,48.408651,1.017637,1.138422,
Matched English control,3,600,2.457600,2.564629,12.871805,-0.035344,48.895694,1.014315,1.128991,
Matched English control,3,700,2.867200,2.582029,12.407410,-0.000793,49.975221,1.020255,1.125229,
Matched English control,3,800,3.276800,2.553090,12.788907,-0.024686,49.228609,1.016988,1.126975,
Matched English control,3,900,3.686400,2.560897,11.825821,0.000243,50.007589,1.016181,1.120888,
Matched English control,3,1050,4.300800,2.554754,12.678444,0.031750,50.992065,1.032959,1.114834,
Matched English control,3,1250,5.120000,2.549950,13.055777,-0.007919,49.752524,1.032448,1.116472,
Matched English control,3,1500,6.144000,2.545570,12.707965,-0.008915,49.721401,1.042995,1.113802,
Matched English control,3,1850,7.577600,2.522567,14.592292,-0.014638,49.542566,1.044559,1.113457,
Matched English control,3,2200,9.011200,2.523077,13.737189,-0.001162,49.963700,1.060547,1.113842,
Matched English control,3,2500,10.240000,2.524728,15.066025,0.014426,50.450801,1.073178,1.113655,
Structured Spanish replication,1,0,0.000000,2.528356,13.843171,-0.054967,48.282971,1.000984,1.179401,664.246533
Structured Spanish replication,1,100,0.409600,2.217765,34.607439,-0.032056,48.998380,1.073153,1.186309,664.246533
Structured Spanish replication,1,200,0.819200,2.025393,51.775766,0.135505,54.224438,1.143553,1.190446,664.246533
Structured Spanish replication,1,300,1.228800,1.853427,63.400065,0.058925,51.840559,1.173534,1.193824,664.246533
Structured Spanish replication,1,450,1.843200,1.675114,72.770061,0.137718,54.293097,1.216589,1.198330,664.246533
Structured Spanish replication,1,600,2.457600,1.533142,77.698268,0.505159,65.281789,1.201868,1.210402,664.246533
Structured Spanish replication,1,700,2.867200,1.400731,80.211052,0.835025,73.957887,1.125914,1.218301,664.246533
Structured Spanish replication,1,800,3.276800,1.328863,82.619854,1.214830,82.032309,1.092968,1.221414,664.246533
Structured Spanish replication,1,900,3.686400,1.257208,83.267899,1.441504,85.837770,1.089565,1.234652,664.246533
Structured Spanish replication,1,1050,4.300800,1.211439,84.468251,1.548733,87.390275,1.082460,1.228052,664.246533
Structured Spanish replication,1,1250,5.120000,1.242289,84.637614,1.612053,88.236984,1.089936,1.238702,664.246533
Structured Spanish replication,1,1500,6.144000,1.195139,84.314198,1.598663,88.062147,1.095866,1.240385,664.246533
Structured Spanish replication,1,1850,7.577600,1.196109,86.109518,1.595713,88.023332,1.110724,1.236611,664.246533
Structured Spanish replication,1,2200,9.011200,1.196945,85.511965,1.620555,88.346852,1.100113,1.238100,664.246533
Structured Spanish replication,1,2500,10.240000,1.183150,85.190625,1.532022,87.158292,1.098299,1.239233,664.246533
Structured Spanish replication,2,0,0.000000,2.531880,13.473626,-0.035720,48.883941,1.003937,1.177913,689.115340
